Index,Strike,Mid,IV,Delta,Type,Maturity,Tau
811,300,18.63,15.52%,0.6968,Call,11/21/2025,0.347945205
812,301,18.05,15.63%,0.6829,Call,11/21/2025,0.347945205
813,302,17.38,15.56%,0.6705,Call,11/21/2025,0.347945205
814,303,16.83,15.67%,0.6565,Call,11/21/2025,0.347945205
815,304,16.38,15.90%,0.6418,Call,11/21/2025,0.347945205
816,305,15.75,15.85%,0.6288,Call,11/21/2025,0.347945205
817,306,15.18,16.18%,0.6139,Call,11/21/2025,0.347945205
818,307,14.65,15.91%,0.6018,Call,11/21/2025,0.347945205
819,308,13.95,15.77%,0.5888,Call,11/21/2025,0.347945205
820,309,13.45,15.64%,0.5754,Call,11/21/2025,0.347945205
821,310,12.95,15.78%,0.5614,Call,11/21/2025,0.347945205
822,311,12.48,15.83%,0.5476,Call,11/21/2025,0.347945205
823,312,12,15.86%,0.5339,Call,11/21/2025,0.347945205
824,313,11.55,15.91%,0.5203,Call,11/21/2025,0.347945205
825,314,11.1,15.93%,0.5067,Call,11/21/2025,0.347945205
826,315,10.7,16.15%,0.4938,Call,11/21/2025,0.347945205
827,316,10.4,16.21%,0.4806,Call,11/21/2025,0.347945205
828,317,10.03,16.28%,0.4678,Call,11/21/2025,0.347945205
829,318,9.5,16.13%,0.4539,Call,11/21/2025,0.347945205
830,319,9.28,16.63%,0.4437,Call,11/21/2025,0.347945205
831,320,8.83,16.20%,0.4282,Call,11/21/2025,0.347945205
832,321,8.45,16.31%,0.4162,Call,11/21/2025,0.347945205
833,322,8.13,16.26%,0.4032,Call,11/21/2025,0.347945205
834,323,7.8,16.41%,0.3921,Call,11/21/2025,0.347945205
835,324,7.5,16.48%,0.3804,Call,11/21/2025,0.347945205
836,325,7.23,16.66%,0.3701,Call,11/21/2025,0.347945205
837,326,6.93,16.60%,0.3577,Call,11/21/2025,0.347945205
838,327,6.63,16.61%,0.3462,Call,11/21/2025,0.347945205
839,328,6.35,16.65%,0.3352,Call,11/21/2025,0.347945205
840,285,2.25,15.69%,-0.1485,Put,11/21/2025,0.347945205
841,290,3.15,15.54%,-0.1959,Put,11/21/2025,0.347945205
842,291,3.38,15.56%,-0.2072,Put,11/21/2025,0.347945205
843,292,3.68,15.67%,-0.2199,Put,11/21/2025,0.347945205
844,293,3.85,15.54%,-0.2299,Put,11/21/2025,0.347945205
845,294,4.1,15.52%,-0.2413,Put,11/21/2025,0.347945205
846,295,4.38,15.48%,-0.2529,Put,11/21/2025,0.347945205
847,296,4.68,15.54%,-0.2667,Put,11/21/2025,0.347945205
848,297,5.05,15.67%,-0.2806,Put,11/21/2025,0.347945205
849,298,5.4,15.72%,-0.294,Put,11/21/2025,0.347945205
850,299,5.63,15.63%,-0.3063,Put,11/21/2025,0.347945205
851,300,5.98,15.55%,-0.3188,Put,11/21/2025,0.347945205
852,301,6.35,15.60%,-0.3338,Put,11/21/2025,0.347945205
853,302,6.73,15.61%,-0.3478,Put,11/21/2025,0.347945205
854,303,7.13,15.61%,-0.3618,Put,11/21/2025,0.347945205
855,304,7.53,15.63%,-0.3766,Put,11/21/2025,0.347945205
856,305,7.98,15.78%,-0.3914,Put,11/21/2025,0.347945205
857,306,8.58,15.68%,-0.4058,Put,11/21/2025,0.347945205
858,307,8.88,15.72%,-0.421,Put,11/21/2025,0.347945205
859,308,9.38,15.78%,-0.4363,Put,11/21/2025,0.347945205
860,309,10.03,16.03%,-0.4514,Put,11/21/2025,0.347945205
861,310,10.55,16.08%,-0.4664,Put,11/21/2025,0.347945205
862,311,11.08,16.11%,-0.4818,Put,11/21/2025,0.347945205
863,312,11.6,16.11%,-0.4959,Put,11/21/2025,0.347945205
864,313,12.02,15.96%,-0.5115,Put,11/21/2025,0.347945205
865,314,12.78,16.24%,-0.5247,Put,11/21/2025,0.347945205
866,315,13.33,16.22%,-0.54,Put,11/21/2025,0.347945205
867,316,13.85,16.15%,-0.5558,Put,11/21/2025,0.347945205
868,317,14.58,16.34%,-0.5708,Put,11/21/2025,0.347945205
869,318,15.13,16.25%,-0.5877,Put,11/21/2025,0.347945205
870,319,15.85,16.40%,-0.6002,Put,11/21/2025,0.347945205
871,320,16.53,16.45%,-0.6129,Put,11/21/2025,0.347945205
872,321,17.23,16.53%,-0.6261,Put,11/21/2025,0.347945205
873,322,17.9,16.55%,-0.6386,Put,11/21/2025,0.347945205
874,323,18.6,16.59%,-0.6519,Put,11/21/2025,0.347945205
875,324,19.28,16.58%,-0.6658,Put,11/21/2025,0.347945205
876,325,20.1,16.77%,-0.6842,Put,11/21/2025,0.347945205
877,326,20.85,16.82%,-0.7008,Put,11/21/2025,0.347945205
878,327,21.63,16.90%,-0.7113,Put,11/21/2025,0.347945205
879,328,22.38,16.91%,-0.7222,Put,11/21/2025,0.347945205
